invoice_id,branch_id,created_at,updated_at,status,shipping_status,subtotal,invoice_discount,total_amount,amount_paid,salesperson_name,customer_id,note
HD245082,CN_MAIN,2025-10-17 16:10:50,,Hoàn thành,,1900000,0,1900000,1900000,GIA HÂN,KH001507,Hân xuất hàng ra khỏi kho ( 06 + 07+08 trả về do hư hỏng không bán được )=> sếp duyệt.
HD244959.01,CN_MAIN,2025-10-18 14:47:19,,Hoàn thành,,3900000,810000,3090000,3090000,GIA HÂN,KH006780,sếp Phúc nhận tại 02 ( gửi chành ).
HD244839,CN_MAIN,2025-10-16 16:31:27,,Hoàn thành,,8450000,0,8450000,8450000,GIA HÂN,KH000506,"tt nhận 09, bán công ty"
HD244184,CN_MAIN,2025-10-14 08:40:38,,Hoàn thành,,17900000,0,17900000,17900000,GIA HÂN,KH000506,"tt nhận 02, bán cty"
HD241714,CN_MAIN,2025-10-03 11:11:33,,Hoàn thành,,36207500,0,36207500,36207500,GIA HÂN,KH000506,TT bán CT_ giao anh Phúc Hồng Nhi.
HD241012,CN_MAIN,2025-09-30 10:34:10,,Hoàn thành,,125000,125000,0,0,GIA HÂN,KH007735,Anh Phúc TT nhận tại 02 làm mẫu ngày 30/09
HD241010,CN_MAIN,2025-09-30 10:29:45,,Hoàn thành,,4968000,0,4968000,4968000,GIA HÂN,KH005817,Anh Trường nhận tại 02 ngày 29/09. Tính giá CK 10 % (giá nhập 92.000/chai)
HD240968,CN_MAIN,2025-09-30 08:58:52,,Hoàn thành,,69600000,0,69600000,69600000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL
HD239670,CN_MAIN,2025-09-24 08:38:42,,Hoàn thành,,19551250,0,19551250,19551250,GIA HÂN,KH000506,tt bán ct_giao Hồng Nhi ( hàng tại 02 +08 )
HD238956,CN_MAIN,2025-09-20 15:17:11,,Hoàn thành,,19666000,0,19666000,19666000,GIA HÂN,KH000506,TT bán CT ( giao Chung Vui )_xe A4
HD238910,CN_MAIN,2025-09-20 11:30:21,2025-09-20 14:43:00,Hoàn thành,,54000000,0,54000000,15000000,GIA HÂN,KH003471,xe a.4 giao
HD238908,CN_MAIN,2025-09-20 11:24:36,,Hoàn thành,,10140000,0,10140000,10140000,GIA HÂN,KH003471,"TT nhận hàng PTK02, xe a.4 giao ( khách ck stk : sếp Phúc 19/09 )"
HD238883,CN_MAIN,2025-09-20 09:38:57,,Hoàn thành,,1630000,0,1630000,1630000,GIA HÂN,KH007755,"PTK02 GỬI XE THUẬN HƯNG 71F 001.39 , CHIỀU 18/09/2025"
HD238138,CN_MAIN,2025-09-16 14:07:39,,Hoàn thành,,2305000,2305000,0,0,GIA HÂN,KH007735,"xuất 7-5-44 , CANXI, THẤM SÂU CHO APTT LÀM MẪU , CASTROL BỂ CỔ XUẤT SẾP PHÚC."
HD238250,CN_MAIN,2025-09-17 08:31:51,,Hoàn thành,,367500,0,367500,367500,GIA HÂN,KH000506,"TT bán CT_ hàng tại 02, gộp cho đủ thùng chẵn."
HD238065,CN_MAIN,2025-09-16 08:51:14,,Hoàn thành,,360500,0,360500,360500,GIA HÂN,KH000506,"TT nhận 02, bán CT cho đủ thùng hàng của AP.NVTT trả về kho."
HD238109,CN_MAIN,2025-09-16 11:37:06,,Hoàn thành,,670000,0,670000,0,GIA HÂN,KH007576,"TT nhận 02, bán A.Công ( gửi xe )_ freeship"
HD238105.01,CN_MAIN,2025-09-16 14:00:15,,Hoàn thành,,2000000,0,2000000,2000000,GIA HÂN,KH000506,TT bán CT_ hàng nhận 02 + 06 ( giao Sỉ ).
HD237483,CN_MAIN,2025-09-13 11:14:07,,Hoàn thành,,31600000,0,31600000,31600000,GIA HÂN,KH000506,Bán hàng công ty giao Thắng Lợi ngày 13/09
HD237482,CN_MAIN,2025-09-13 11:11:49,,Hoàn thành,,4625000,0,4625000,4625000,GIA HÂN,KH000506,Bán hàng công ty giao Lệ Trinh ngày 12/09
HD236845,CN_MAIN,2025-09-10 09:39:16,,Hoàn thành,,600000,0,600000,600000,GIA HÂN,KH000506,Bán hàng công ty cho đủ thùng
HD236684,CN_MAIN,2025-09-09 13:44:34,,Hoàn thành,,39060000,0,39060000,39060000,GIA HÂN,KH000506,"Bán hàng công ty, xe giao ngày 08/09"
HD235637,CN_MAIN,2025-09-03 16:08:08,,Hoàn thành,,48720000,0,48720000,48720000,GIA HÂN,KH007152,"Anh Khôi nhận hàng ở Mỹ Tho ngày 03/09 giao khách, chưa thanh toán"
HD235655,CN_MAIN,2025-09-03 16:42:26,,Hoàn thành,,5500000,0,5500000,5500000,GIA HÂN,KH000506,Bán hàng công ty giao Chú Chính ngày 01/09
HD235659,CN_MAIN,2025-09-03 16:52:45,,Hoàn thành,,6440000,0,6440000,6440000,GIA HÂN,KH007573,"Đơn hàng giao 31/08, chưa rõ thanh toán"
HD235658,CN_MAIN,2025-09-03 16:50:06,,Hoàn thành,,83340000,0,83340000,0,GIA HÂN,KH007486,Đơn hàng giao ngày 31/08
HD235648,CN_MAIN,2025-09-03 16:29:02,,Hoàn thành,,8080000,0,8080000,8080000,GIA HÂN,KH007576,Xuất đơn hàng giao ngày 31/08
HD234435,CN_MAIN,2025-08-27 09:23:25,,Hoàn thành,,18500000,0,18500000,18500000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Bảo Trinh
HD234205,CN_MAIN,2025-08-25 17:32:03,,Hoàn thành,,7740000,1161000,6579000,0,GIA HÂN,KH005817,"Bán hàng A Trường HP, nhận hàng tại 02 ngày 23/08, chưa thanh toán. Chiết khấu 15%"
HD233806,CN_MAIN,2025-08-23 14:27:27,,Hoàn thành,,10568212,0,10568212,10568212,GIA HÂN,KH000506,02 bán hàng lại công ty cho đủ thùng + hàng mới để kho công ty
HD233802,CN_MAIN,2025-08-23 14:20:09,,Hoàn thành,,15636000,0,15636000,15636000,GIA HÂN,KH007048,"Nhận hàng tại 02 ngày 23/08, chưa thanh toán"
HD232303,CN_MAIN,2025-08-15 11:29:13,,Hoàn thành,,4125000,0,4125000,4125000,GIA HÂN,KH007576,"Hàng giao ngày 12/08, đã tính 140.000 phí giao hàng. Đơn anh Trường cho nợ."
HD232302,CN_MAIN,2025-08-15 11:23:33,,Hoàn thành,,5900000,0,5900000,5900000,GIA HÂN,KH007575,"Hàng giao 12/08, đã tính 200.000 vận chuyển."
HD232301,CN_MAIN,2025-08-15 11:14:41,,Hoàn thành,,800000,0,800000,800000,GIA HÂN,KH007574,"Hàng giao 12/08 , khách nợ vài ngày, đã xin anh Thiêm"
HD232300,CN_MAIN,2025-08-15 11:10:20,,Hoàn thành,,21715000,0,21715000,21715000,GIA HÂN,KH007573,"Hàng giao Cố Yến ngày 12/08, đã tính thêm chi phí giao hàng 1.000.000 (đã thanh toán)"
HD232294,CN_MAIN,2025-08-15 10:45:10,,Hoàn thành,,26320000,0,26320000,26320000,GIA HÂN,KH007572,Hàng giao ngày 12/08
HD232142,CN_MAIN,2025-08-14 14:39:41,,Hoàn thành,,67038800,0,67038800,67038800,GIA HÂN,KH000506,Bán hàng lại công ty để chuyển kho
HD231744,CN_MAIN,2025-08-12 15:45:52,,Hoàn thành,,10800000,100000,10700000,10700000,GIA HÂN,KH006538,Đã trừ 200đ/1kg tiền vận chuyển. Đã thanh toán chuyển khoản TK ACB công ty.
HD231551,CN_MAIN,2025-08-11 16:03:21,,Hoàn thành,,9975000,0,9975000,9975000,GIA HÂN,KH006780,anh Thiêm gửi chành Trần Quyên ngày 10/08. Khách đã CK ACB công ty 11.145.000 (Tiền hàng 9.975.000 + 1.170.000 tiền phí gửi hàng đã chi hộ)
HD230956,CN_MAIN,2025-08-08 16:59:56,,Hoàn thành,,425725000,0,425725000,425725000,GIA HÂN,KH000506,Trả hàng lại công ty để giao kho cho Trọng ngày 08/08
HD230932,CN_MAIN,2025-08-08 15:53:24,,Hoàn thành,,55500000,0,55500000,55500000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL ngày 07+08/08
HD230494,CN_MAIN,2025-08-06 14:18:31,,Hoàn thành,,50000000,0,50000000,50000000,GIA HÂN,KH000506,"Bán hàng công ty, xe a4 nhận hàng PQL giao ĐL ngày 06/08"
HD230434,CN_MAIN,2025-08-06 09:46:12,,Hoàn thành,,11760000,0,11760000,11760000,GIA HÂN,KH000506,Bán hàng công ty giao Chú Chính ngày 06/08
HD230020,CN_MAIN,2025-08-04 09:51:54,,Hoàn thành,,21406387,0,21406387,21406387,GIA HÂN,KH000506,Bán hàng công ty giao anh Phương ngày 02/08 và anh Phúc TT giao ĐL
HD229686,CN_MAIN,2025-08-02 10:06:08,,Hoàn thành,,44272000,0,44272000,44272000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL và Sự VPC
HD229590,CN_MAIN,2025-08-01 17:07:50,,Hoàn thành,,4570000,0,4570000,0,GIA HÂN,KH007486,"Xuất đơn giao anh Việt ngày 26/07, xe bán tải anh Thiêm đi thăm vườn BP giao"
HD229585,CN_MAIN,2025-08-01 17:05:10,,Hoàn thành,,0,0,0,0,GIA HÂN,,Xuất 50 áo thun tặng khách Bình Phước ngày 26/07/2025
HD228361,CN_MAIN,2025-07-26 11:40:23,,Hoàn thành,,22080000,0,22080000,22080000,GIA HÂN,KH000506,Bán hàng công ty giao Dũng Khiêm 2 thùng
HD228358,CN_MAIN,2025-07-26 10:50:58,,Hoàn thành,,8400000,0,8400000,8400000,GIA HÂN,KH000506,Bán hàng công ty giao Bảo Trinh ngày 26/07
HD228235.01,CN_MAIN,2025-07-25 16:22:25,,Hoàn thành,,16900000,0,16900000,16900000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Minh Trí ngày 25/07
HD228040,CN_MAIN,2025-07-24 17:15:32,,Hoàn thành,,6650000,0,6650000,6650000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Chung Vui ngày 24/07
HD227963,CN_MAIN,2025-07-24 13:45:42,,Hoàn thành,,2750000,0,2750000,2750000,GIA HÂN,KH000506,Bán hàng công ty giao Chú Chính ngày 24/07
HD226863.01,CN_MAIN,2025-08-25 17:28:23,,Hoàn thành,,23220000,3483000,19737000,0,GIA HÂN,KH005817,"Xuất đơn Trường HP lấy tạu 02, chưa thanh toán. Chỉnh lại hiết khấu 15%"
HD226576,CN_MAIN,2025-07-16 16:56:39,,Hoàn thành,,24355000,0,24355000,24355000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Dũng Khiêm
HD226408.01,CN_MAIN,2025-08-25 17:26:23,,Hoàn thành,,15480000,2322000,13158000,0,GIA HÂN,KH005817,Bán 2 thùng Lisara. Trường lấy tại 02 ngày 15/07. Chỉnh lại Chiết khấu 15%
HD225854,CN_MAIN,2025-07-12 14:04:01,,Hoàn thành,,5550000,0,5550000,5550000,GIA HÂN,KH000506,
HD225236,CN_MAIN,2025-07-08 17:23:33,,Hoàn thành,,42250000,0,42250000,42250000,GIA HÂN,KH000506,Bán hàng công ty giao Thế Năng
HD224683,CN_MAIN,2025-07-05 11:20:05,,Hoàn thành,,7250000,0,7250000,7250000,GIA HÂN,KH000506,Bán hàng bù do mượn hàng đi ĐL ngày 03/07
HD224496,CN_MAIN,2025-07-04 10:12:46,2025-08-18 08:48:00,Hoàn thành,,0,0,0,0,GIA HÂN,KH001507,Xuất 3 bao sếp Phúc đi TT demo ngày 25/06
HD224403,CN_MAIN,2025-07-03 17:06:54,,Hoàn thành,,35450000,0,35450000,35450000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hồng Nhi
HD224294,CN_MAIN,2025-07-03 09:08:35,,Hoàn thành,,33600000,0,33600000,33600000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL
HD224002,CN_MAIN,2025-07-01 15:03:35,,Hoàn thành,,5529600,0,5529600,5529600,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Diệu Hiền
HD223873,CN_MAIN,2025-06-30 17:16:17,,Hoàn thành,,28025000,0,28025000,28025000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hồng Nhi
HD223756,CN_MAIN,2025-06-30 09:17:28,,Hoàn thành,,16800000,0,16800000,16800000,GIA HÂN,KH000506,Bán hàng công ty giao Chú Chính ngày 29/06
HD223503,CN_MAIN,2025-06-28 16:37:26,,Hoàn thành,,1020000,0,1020000,1020000,GIA HÂN,KH007152,anh Khôi mượn 15 chai tại 02
HD223474,CN_MAIN,2025-06-28 15:27:43,,Hoàn thành,,8160000,0,8160000,8160000,GIA HÂN,KH007152,anh Khôi nhận hàng tại 02 ngày 27/06
HD223421,CN_MAIN,2025-06-28 10:38:13,,Hoàn thành,,29000000,0,29000000,29000000,GIA HÂN,KH000506,Bán hàng công ty giao Tấn Tài và Bảo Trinh
HD223016,CN_MAIN,2025-06-25 15:35:50,,Hoàn thành,,3625000,0,3625000,3625000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hồng Nhi
HD222946,CN_MAIN,2025-06-25 09:48:25,,Hoàn thành,,19500000,0,19500000,19500000,GIA HÂN,KH000506,Bán hàng công ty giao Hồng Nhi
HD222605.01,CN_MAIN,2025-06-23 15:11:00,,Hoàn thành,,13240000,0,13240000,13240000,GIA HÂN,KH001482,"Gửi chành xe giao anh Lộc ngày 23/06, chưa thanh toán"
HD222523,CN_MAIN,2025-06-23 09:12:22,,Hoàn thành,,16800000,0,16800000,16800000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Nguyễn Văn Hùng
HD222176,CN_MAIN,2025-06-21 10:40:54,,Hoàn thành,,48600000,0,48600000,48600000,GIA HÂN,KH007152,"Bán 9T cho Khôi. nhận 3T tại 02 ngày 20/06, 6T nhận Mỹ Tho giao khách, chưa thanh toán"
HD221834,CN_MAIN,2025-06-19 14:26:44,,Hoàn thành,,17050000,0,17050000,17050000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hồng Nhi ngày 19/06
HD221835,CN_MAIN,2025-06-19 14:30:00,,Hoàn thành,,28720000,0,28720000,28720000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Dũng Khiêm
HD220700,CN_MAIN,2025-06-13 15:58:04,,Hoàn thành,,14209000,0,14209000,14209000,GIA HÂN,KH000506,
HD220620,CN_MAIN,2025-06-13 09:17:06,,Hoàn thành,,7500000,0,7500000,7500000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hồng Nhi ngày 12/06
HD220322,CN_MAIN,2025-06-11 15:02:48,,Hoàn thành,,0,0,0,0,GIA HÂN,KH001507,Hàng sếp Phúc lấy đi Bình Thuận demo
HD220254,CN_MAIN,2025-06-11 09:23:51,,Hoàn thành,,20187500,0,20187500,20187500,GIA HÂN,KH000506,Bán hàng công ty giao đại lý Tính Huy ngày 10/06
HD219665,CN_MAIN,2025-06-07 16:18:10,,Hoàn thành,,10500000,0,10500000,10500000,GIA HÂN,KH006538,"Bán hàng Hải Vy, đã CK tài khoản chị Thoa"
HD219115,CN_MAIN,2025-06-04 16:43:54,,Hoàn thành,,36240000,0,36240000,36240000,GIA HÂN,KH007152,"Bán hàng cho KHÔI - Công ty Nam Phát, chưa thanh toán"
HD218870,CN_MAIN,2025-06-03 14:14:26,,Hoàn thành,,960000,0,960000,960000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Quốc Hồng  (sếp nhận đi xe bán tải)
HD218868,CN_MAIN,2025-06-03 14:09:41,,Hoàn thành,,17400000,0,17400000,17400000,GIA HÂN,KH000506,Bán hàng công ty giao đại lý Hoàng Khải
HD218756,CN_MAIN,2025-06-02 17:01:26,2025-06-04 16:53:00,Hoàn thành,,3404800,0,3404800,3404800,GIA HÂN,KH000506,Bán hàng cho công ty xuất đơn quà tặng cho VPC
HD217388,CN_MAIN,2025-05-26 11:49:19,,Hoàn thành,,15450000,0,15450000,15450000,GIA HÂN,KH000506,Bán hàng công ty giao Marou
HD217387,CN_MAIN,2025-05-26 11:46:04,,Hoàn thành,,23112500,0,23112500,23112500,GIA HÂN,KH000506,Bán hàng công ty giao Hồng Nhi
HD216700,CN_MAIN,2025-05-22 15:09:58,,Hoàn thành,,58390000,0,58390000,58390000,GIA HÂN,KH000506,Bán hàng công ty giao Puratos
HD216680,CN_MAIN,2025-05-22 13:58:24,,Hoàn thành,,44000000,0,44000000,44000000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hai Lớn
HD216674,CN_MAIN,2025-05-22 13:53:16,,Hoàn thành,,30425000,0,30425000,30425000,GIA HÂN,KH000506,"Trả lại công ty 155 chai Strong bị hư, trả lại NCC"
HD216344,CN_MAIN,2025-05-20 15:00:13,,Hoàn thành,,21000000,0,21000000,21000000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Chín Tân
HD216342,CN_MAIN,2025-05-20 14:49:37,,Hoàn thành,,2480000,0,2480000,2480000,GIA HÂN,KH000506,Bán hàng công ty giao đơn Bảo Lộc
HD216329,CN_MAIN,2025-05-20 11:30:29,,Hoàn thành,,1502500,0,1502500,1502500,GIA HÂN,KH000506,"Bán hàng công ty giao công ty Marou , xuất hàng 09"
HD216326,CN_MAIN,2025-05-20 11:19:59,,Hoàn thành,,45875000,0,45875000,45875000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Hồng Nhi + Hai Lớn
HD216322,CN_MAIN,2025-05-20 10:50:17,,Hoàn thành,,14845000,0,14845000,14845000,GIA HÂN,KH007048,"Xe anh Tư giao 18/05, chưa thanh toán."
HD215633,CN_MAIN,2025-05-16 16:26:55,,Hoàn thành,,7200000,0,7200000,7200000,GIA HÂN,KH000506,"Bán hàng công ty giao ĐL Hoàng Nhi, Minh Phú"
HD215349,CN_MAIN,2025-05-15 09:12:05,,Hoàn thành,,44000000,0,44000000,44000000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Thúy Ái
HD214430.01,CN_MAIN,2025-05-12 16:20:44,,Hoàn thành,,32620000,0,32620000,32620000,GIA HÂN,KH001482,"Chưa thu tiền, trả lại 1 thùng chết rầy xanh chuyển 02"
HD214425,CN_MAIN,2025-05-10 15:45:09,,Hoàn thành,,14757984,0,14757984,14757984,GIA HÂN,KH000506,Bán hàng công ty xuất đơn anh Phương - Bình Thuận
HD215721.01,CN_MAIN,2025-05-17 10:00:15,,Hoàn thành,,2670000,2670000,0,0,GIA HÂN,KH007020,Xuất hàng quà tặng du lịch ngày 08/05
HD213515,CN_MAIN,2025-05-05 10:01:45,,Hoàn thành,,1560510,0,1560510,1560510,GIA HÂN,KH000506,Bán hàng cho anh Sự
HD212663.01,CN_MAIN,2025-04-29 16:43:47,,Hoàn thành,,4157130,0,4157130,4157130,GIA HÂN,KH005817,Trường HP nhận 1 thùng tại 02 (giá đã chiết khấu 8%)
HD212630,CN_MAIN,2025-04-29 09:59:20,,Hoàn thành,,16706500,0,16706500,16706500,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Nguyễn Văn Hùng
HD212629,CN_MAIN,2025-04-29 09:56:01,,Hoàn thành,,2545000,0,2545000,2545000,GIA HÂN,KH000506,Bán hàng công ty giao chị Diễm Hậu Giang
HD212946,CN_MAIN,2025-05-02 16:14:45,,Hoàn thành,,0,0,0,0,GIA HÂN,KH003123,Xuất hàng demo vườn và hội thảo cho anh Đào
HD211863,CN_MAIN,2025-04-25 14:09:31,,Hoàn thành,,3850000,0,3850000,3850000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Dũng Khiêm
HD211845,CN_MAIN,2025-04-25 10:35:27,,Hoàn thành,,16800000,0,16800000,16800000,GIA HÂN,KH000506,Trung tâm bán hàng công ty giao chú Chính
HD211673,CN_MAIN,2025-04-24 09:46:21,,Hoàn thành,,17876058,0,17876058,17876058,GIA HÂN,KH000506,TT bán hàng công ty giao anh Phương Bình Thuận
HD211550,CN_MAIN,2025-04-23 14:57:59,,Hoàn thành,,59070000,0,59070000,59070000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Dũng Khiêm
HD211343,CN_MAIN,2025-04-22 14:55:03,,Hoàn thành,,2764800,0,2764800,2764800,GIA HÂN,KH000506,Trung tâm bán hàng công ty giao ĐL Hồng Nhi
HD211114,CN_MAIN,2025-04-21 10:42:30,,Hoàn thành,,5350000,0,5350000,5350000,GIA HÂN,KH000506,TT bán hàng công ty giao ĐL Nguyễn Văn Hùng ngày 21/04
HD211107,CN_MAIN,2025-04-21 10:05:54,,Hoàn thành,,1025000,0,1025000,1025000,GIA HÂN,KH000506,Trung tâm bán hàng công ty giao ĐL Nguyễn Văn Hùng ngày 20/04
HD210771,CN_MAIN,2025-04-19 15:48:00,,Hoàn thành,,2422500,0,2422500,2422500,GIA HÂN,KH000506,Trả hàng lại công ty cho đủ thùng nguyên để kho dễ theo dõi
HD210697,CN_MAIN,2025-04-19 10:49:44,,Hoàn thành,,133628000,0,133628000,133628000,GIA HÂN,KH000506,Trung tâm bán lại hàng công ty cho khớp kho
HD210299,CN_MAIN,2025-04-17 09:58:39,,Hoàn thành,,8700000,0,8700000,8700000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Lệ Trinh
HD210200,CN_MAIN,2025-04-16 17:00:33,,Hoàn thành,,2040000,0,2040000,2040000,GIA HÂN,KH000506,Bán hàng công ty bán cho anh Đương (VPC)
HD210191,CN_MAIN,2025-04-16 16:32:11,,Hoàn thành,,9300000,0,9300000,9300000,GIA HÂN,KH000506,Bán hàng công ty giao ĐL Ba Nguyễn
HD209986,CN_MAIN,2025-04-15 16:31:03,,Hoàn thành,,12960000,0,12960000,12960000,GIA HÂN,KH000506,Bán hàng cho công ty đi ĐL Nguyễn Văn Hùng
HD209940,CN_MAIN,2025-04-15 14:39:35,,Hoàn thành,,24850000,0,24850000,24850000,GIA HÂN,KH000506,Xuất hàng cho công ty giao đại lý Thuận Phát
HD209691,CN_MAIN,2025-04-14 09:10:54,,Hoàn thành,,47850000,0,47850000,47850000,GIA HÂN,KH000506,Bán hàng công ty giao Bảo Trinh + Yến Duy
HD209680,CN_MAIN,2025-04-14 08:18:51,,Hoàn thành,,4240000,0,4240000,4240000,GIA HÂN,KH000506,Bán hàng công ty (Hội thảo ĐL Nguyễn Văn Hùng)
HD209376,CN_MAIN,2025-04-12 16:15:39,,Hoàn thành,,73292500,0,73292500,73292500,GIA HÂN,KH000506,Bán hàng công ty giao đại lý Dũng Khiêm
