Mã nhà cung cấp,Tên nhà cung cấp,Email,Điện thoại,Địa chỉ,Khu vực,Phường/Xã,Tổng mua,Nợ cần trả hiện tại,Mã số thuế,Ghi chú,Nhóm nhà cung cấp,Trạng thái,Tổng mua trừ trả hàng,Chi nhánh,Công ty,Người tạo,Ngày tạo
NCC000098,CÔNG TY CP THUỐC BVTV VIỆT TRUNG (VAGRITEX),,0966.873.265 (Trường Giang Sale),"Lô G05-1, KCN Đức Hòa 1- Hạnh Phúc, Ấp 5, Xã Đức Hòa Đông, H, Đức Hòa, tỉnh Long An",,,1193238140,0,,"0939160789 - SACOMBANK - NGUYEN THI XOAN
1341.0000.168888 - BIDV - CTY CP THUOC BAO VE THUC VAT VIET TRUNG",,1,1193238140,Chi nhánh trung tâm,,ADMIN,2024-12-10 16:58:59.670
NCC000097,TRƯỜNG SƠN - VĨNH LONG,,8846016789,,,,10800000,0,,"Người nhận BUI THI CHINH
STK : 8846016789 
BANK BIDV",,1,10800000,Chi nhánh trung tâm,,ADMIN,2024-10-24 08:30:45.667
NCC000096,MONYKA,,123456789,,,,157540000,0,,,,1,157540000,Chi nhánh trung tâm,,ADMIN,2024-08-29 16:41:43.437
NCC000095,UNIGREEN,,150886666,,,,98170000,0,,ĐẶNG VĂN PHONG ACB 150886666,,1,98170000,Chi nhánh trung tâm,,ADMIN,2024-08-14 21:26:24.650
NCC000094,REALSTRONG,,090000000,,,,0,0,,,,1,0,Chi nhánh trung tâm,,ADMIN,2024-08-02 22:16:42.497
NCC000093,CÔNG TY TNHH SX_TM TOBA,,02862515540,,,,82665000,0,,,,1,82665000,Chi nhánh trung tâm,,ADMIN,2024-06-19 10:09:33.387
NCC000092,HỮU ĐỊNH _TOBA,,9969000973,,,,110800000,0,,"NGUYỄN HỮU ĐỊNH 
VIETCOMBANK  9969000973",,1,110800000,Chi nhánh trung tâm,,ADMIN,2024-06-05 08:17:42.023
NCC000090,CÔNG TY TNHH HÓA SINH PANDA,,0943793214,,,,70000000,0,,,,1,70000000,Chi nhánh trung tâm,,ADMIN,2024-05-26 21:50:49.300
NCC000089,THU LOAN_ VĨNH LONG,,0273740028,,Vĩnh Long - Thị xã Bình Minh,,95400000,0,,,,1,95400000,Chi nhánh trung tâm,,ADMIN,2024-05-23 08:33:55.670
NCC000085,9 Mai Vôi Thạnh Phú,,12225556,,,,144621120,0,,7105205009975,,1,144621120,Chi nhánh trung tâm,,ADMIN,2024-04-08 16:57:53.180
NCC000084,CÔNG TY TNHH PICOM VIỆT NAM,,1231456,,,,24450000,0,,"STK  : 161161718  MB BANK CHI NHÁNH AN GIANG  
CTK : NGUYỄN HỒNG PHỤNG",,1,24450000,Chi nhánh trung tâm,,ADMIN,2024-03-27 14:48:59.963
NCC000083,PHÁT PHẠM HP,,0911704758,,,,112806743,0,,19028694819012_TECHCOMBANK,,1,112806743,Chi nhánh trung tâm,,ADMIN,2024-03-07 08:44:58.550
NCC000082,CÔNG TY TNHH TM LỘC NÔNG,,039.730.7936 ( MINH THỰC ),"128/3 Đường số 7, Phường 3, Quận Gò Vấp, TP.HCM",,,33320000,0,,STK : 6901205038810 ( AGRIBANK MỸ THO _ ĐINH TRẦN MINH THỰC ).,,1,33320000,Chi nhánh trung tâm,,ADMIN,2024-02-20 13:27:58.463
NCC000081,NGUYỄN HOÀNG NHIỀU (CTY HOÀ BÌNH),,12346789,,,,7209000,0,,STK 105874682898,,1,7209000,Chi nhánh trung tâm,,ADMIN,2024-01-19 16:40:38.290
NCC000080,ANH THUẬN MEKONG XANH,,0973665777,,,,20800000,0,,,,1,20800000,Chi nhánh trung tâm,,ADMIN,2024-01-19 16:11:17.070
NCC000079,CÔNG TY CỔ PHẦN XNK AGRINO VIỆT NAM.,,0902356939,"124, ĐƯỜNG SỐ 13, KHU PHỐ 19, PHƯỜNG BÌNH HƯNG HÒA, Q. BÌNH TÂN, TP.HCM.",,,59920000,0,316887250.0,,,1,59920000,Chi nhánh trung tâm,,ADMIN,2023-11-03 17:12:00.003
NCC000078,ANH MỸ BASF,,0974999915,,,,18750000,0,,,,1,18750000,Chi nhánh trung tâm,,ADMIN,2023-11-02 15:25:19.340
NCC000077,VTNN THUỲ DUNG,,0782999991,Long Xuyên,,,104080000,0,,"Văn Lang
TK : 7006205007298 ( agribank )
Chủ TK : Nguyễn Thị Thuý
TK : 7006868996996 ( agribank)
Chủ TK : Nguyễn Thị Thúy",,1,104080000,Chi nhánh trung tâm,VTNN THUỲ DUNG,ADMIN,2023-10-27 15:01:42.097
NCC000076,CÔNG TY CP XNK NÔNG DƯƠC HOÀNG ÂN.,,028.66603398,"24, Đường số 3, khu Hai Thành,KP 4, Phường Tân Tạo A, Q.Bình Tân.",,,19600000,0,,,,1,19600000,Chi nhánh trung tâm,,ADMIN,2023-10-11 09:53:28.490
NCC000075,CÔNG TY TNHH THƯƠNG MẠI AN PHÁT NÔNG,,0774901143 ( C. HUỲNH CHI ),,,,3974173000,399870000,,"070079448565 _ Nguyen Van Luan ( Thanh toán trong vòng 15 ngày ).
070066184828 - SACOMBANK - VĨNH LONG 
Công ty TNHH Thương Mại An Phát Nông",,1,3967198000,Chi nhánh trung tâm,,ADMIN,2023-09-07 15:30:26.100
NCC000074,ANH THỐNG BCC,,0912637272,,,,155846760,0,,"NGUYEN VAN THONG 
MARITIMEBANK - NH TMCP HANG HAI",,1,155846760,Chi nhánh trung tâm,,ADMIN,2023-08-29 10:39:37.650
NCC000073,ANH HIẾU BCC ( MUA LỆNH ),,1234,,,,363600000,0,,MUA LỆNH TỪ ANH HIẾU BCC,,1,363600000,Chi nhánh trung tâm,,ADMIN,2023-07-29 11:35:10.367
NCC000072,ANH NAM GARSONI_CẤP 1,,0899024868,,,,407900000,0,,,,1,407900000,Chi nhánh trung tâm,,ADMIN,2023-06-29 15:12:06.953
NCC000071,ANH THIÊM_THÀNH PHẨM BỘ TƯỚI,,09176128120,ĐƯỜNG NGUYỄN VĂN TRUNG.,Bến Tre - Thành phố Bến Tre,Phường 4,5728000,0,,,,1,5728000,Chi nhánh trung tâm,,ADMIN,2023-06-19 14:12:51.137
NCC000070,CÔNG TY TNHH NÔNG VIỆT THỊNH,,070.379.5789,"ẤP 3, XÃ TRUNG AN, TP MỸ THO, TIỀN GIANG.",,,2370835000,442090000,,TRAN LONG NHAT 42241020029999 MB bank,,1,2315985000,Chi nhánh trung tâm,,ADMIN,2023-06-19 08:44:22.723
NCC000069,CÔNG TY TNHH BVTV ACB MỸ,,0906533343,"SỐ 003, ẤP 4, MỸ HIỆP, CAO LÃNH, ĐỒNG THÁP",,,317400001,0,,STK: NGUYỄN HOÀI KHÁ_ 070020638689_SACOMBANK,,1,310200001,Chi nhánh trung tâm,,ADMIN,2023-05-22 12:49:16.863
NCC000068,CÔNG TY TNHH SUMMIT  AGRO VIỆT NAM,,0346.840.091_KHÔI,"PHÒNG 1001, TẦNG 10 , THÁP ROYAL CENTER, 235 NGUYỄN VĂN CỪ, Q.1, TP.HCM",,,806856000,100000000,313848743.0,,,1,806856000,Chi nhánh trung tâm,,ADMIN,2023-04-25 17:16:36.430
NCC000064,ANH THẢO SÓC TRĂNG,,0989653228,,Sóc Trăng - Thành phố Sóc Trăng,,49480000,0,,,,1,49480000,Chi nhánh trung tâm,,ADMIN,2023-04-10 16:04:37.920
NCC000062,LÊ KIẾN QUỐC,,123456,,,,50000000,0,,105000052745 ( LE KIEN QUOC ),,1,50000000,Chi nhánh trung tâm,,ADMIN,2023-03-06 16:35:47.160
NCC000061,ANH MINH GARSONI _CẤP 1,,0936.947.079,,,,102760000,0,,,,1,37670000,Chi nhánh trung tâm,,ADMIN,2023-01-06 15:33:24.243
VPC,CÔNG TY CP THUỐC SÁT TRÙNG VN,,0283.829.5730,102 Nguyễn Đình Chiểu - Phường Đa Kao - Quận 1 - TP Hồ Chí Minh.,,,5000000,0,,,,1,5000000,Chi nhánh trung tâm,,ADMIN,2022-12-22 15:01:26.910
NCC000058,CÔNG TY XUYÊN Á,,12345678,,Hồ Chí Minh - Huyện Củ Chi,,53545000,0,,,,1,53545000,Chi nhánh trung tâm,,ADMIN,2022-12-15 10:17:32.467
NCC000055,ANH ÚT CẦN THƠ,,0939 220234 - 02926 518692,"62/9, Nguyễn Văn Cừ, Phường An Bình, Ninh Kiều, TP.Cần Thơ",Cần Thơ - Quận Ninh Kiều,Phường An Bình,78000000,0,,,,1,78000000,Chi nhánh trung tâm,,ADMIN,2022-11-11 11:30:25.530
NCC000054,CÔNG TY CP QUỐC TẾ HÒA BÌNH _ CN LONG AN,,08 6260 1120,"SỐ 15/7/73/1194, ĐƯỜNG LÁNG, LÁNG THƯỢNG, ĐĐ,HN",Long An - Huyện Cần Giuộc,,11450000,0,,,,1,11450000,Chi nhánh trung tâm,,ADMIN,2022-11-11 10:22:56.637
TT01,CÔNG TY TNHH SX VAD TM RVAC,,02733 850092,"Ấp Mỹ Đức, xã Mỹ Phước, huyện Tân Phước, Tiền Giang",,,5200000,0,,,,1,5200000,Chi nhánh trung tâm,,ADMIN,2022-10-13 08:45:31.283
NCC000053,CÔNG TY TNHH CÔNG NGHỆ TANIXA,,0375.000.798 (MINH KHOA),"Lô A18A, Đường số 6, KCN Hải Sơn, Xã Đức Hòa Hạ, huyện Đức Hòa, tỉnh Long An.",Long An - Huyện Đức Hòa,Xã Đức Hòa Hạ,54492000,0,,060129413258 _ TANIXA TECHNOLOGY COMPANY LIMITED )_SACOMBANK,,1,54492000,Chi nhánh trung tâm,,ADMIN,2022-09-22 15:59:31.550
NCC000052,CÔNG TY TNHH PHÂN BÓN P.S.V,,027536865,"98A/75, Ấp Sơn Long, xã Sơn Định, Huyện Chợ Lách, tỉnh Bến Tre.",Bến Tre - Huyện Chợ Lách,Xã Sơn Định,89216420,0,,070033628208_HA MINH LUAN_SACOMBANK,,1,89216420,Chi nhánh trung tâm,,ADMIN,2022-09-14 15:44:05.260
NCC000051,CÔNG TY CP QUỐC TẾ YUTAKA NHẬT BẢN,,0983.654.040,"Số 46, đường số 7, khu phố 1, phường Phú Mỹ, quận 7, TP.HCM",Hồ Chí Minh - Quận 7,Phường Phú Mỹ,1085334025,0,,"070085935516 _NGUYEN QUOC PHONG_SACOMBANK
8630000358 - BIDV
CÔNG TY CỔ PHẦN QUỐC TÉ YUTAKA NHẬT BẢN",,1,1085334025,Chi nhánh trung tâm,,ADMIN,2022-09-03 14:09:09.283
NCC000048,CÔNG TY CỔ PHẦN GOLD AGRI,,0866003538 (Như thảo),"Số 17, Châu Văn Giác, P2, TP Tân An, Tỉnh Long An.",Long An - Thành phố Tân An,Phường 2,129750000,0,1101957333.0,30-10-10 cam,,1,129750000,Chi nhánh trung tâm,,ADMIN,2022-08-18 11:44:22.940
THUOC MAIVANG,CÔNG TY TNHH PB MAI VÀNG,,0985031027,"Lầu 10, Tòa nhà Bình Trị Đông B, 1008, Đường 17A, Quận Bình Tân, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh",,,14300000,0,,0966814497- nv Tân,,1,14300000,Chi nhánh trung tâm,,ADMIN,2022-07-21 15:34:55.713
THUOC TPT,CÔNG TY TỶ PHÚC THỊNH,,0931.535.887,"Đường Phạm Văn Hai, huyện Bình Chánh, Tp HCM",,,778801500,31880000,,"Số TK: Phan Thị Thu Nga
6613.2051.55680- argibank Long An
phan thị lệ hằng
6613.2054.31440- agribank",,1,778801500,Chi nhánh trung tâm,,ADMIN,2022-07-21 14:54:49.080
ANHPHUOC,ANH PHƯỚC - PTK 05,,0382000966,,,,7050000,0,,,,1,7050000,Chi nhánh trung tâm,,ADMIN,2022-07-15 13:11:53.723
NCC000042,CTY TNHH MTV GIẢI PHÁP NN TIÊN TIẾN- AA,,0723777715,"Lô ME9-1b, đường số 6, KCN Đức Hòa, Đức Hòa, Long AN",,,42720000,0,,STK: 0721000518016- Trương Nguyễn Hồng Ngọc_VIETCOMBANK,,1,39769000,Chi nhánh trung tâm,,ADMIN,2022-07-06 11:49:03.403
GSN,GASONI- MUA LỆNH,,0723941017,,,,822354000,0,,Mua lệnh của Tuyết Nga- Phan Minh LA,,1,822247500,Chi nhánh trung tâm,,ADMIN,2022-06-23 08:35:42.583
NCC000039,CÔNG TY TNHH PHƯỚC QUANG LONG,,0913962360,"QL1A, BÌNH PHÚ, CAI LẬY, TIỀN GIANG",,,9342700000,280403000,,stk: 106000467775- nguyễn phước quang,,1,9325640000,Chi nhánh trung tâm,,ADMIN,2022-06-12 08:39:41.490
NCC000037,CHỊ THOA PTK,,012346698,,,,108799000,0,,,,1,108799000,Chi nhánh trung tâm,,ADMIN,2022-06-07 15:59:42.933
NCC000034,CỬA HÀNG PTK 06,,0397000966,KINH LAI PHỤNG,,,206998172,0,,,,1,206998172,Chi nhánh trung tâm,,ADMIN,2022-06-07 10:26:31.957
NCC000024,NHẬP HUMK-SUPER HUM,,0000125879,,,,70710000,0,,,,1,70710000,Chi nhánh trung tâm,,ADMIN,2022-05-27 13:50:14.623
NCC000023,VTNN HAI CHIẾN ( META XYL ),,0902754567,"238- Ấp Bình Tịnh, xã Bình Phú, Cai Lậy, Tiền Giang",,,6928855800,74129500,,"số tài khoản: trương thị huệ- sacombank
070000267110",,1,6926515800,Chi nhánh trung tâm,,ADMIN,2022-05-24 15:07:02.757
NCC000022,CỬA HÀNG VTNN PTK 04,,0917812612,"Phường 8, tp Bến Tre",,,264076446,0,,,,1,264076446,Chi nhánh trung tâm,,ADMIN,2022-05-20 14:10:40.953
NCC000021,CÔNG TY CỔ PHẦN HÓA CHẤT VÀ PHÂN BÓN BA MIỀN,bamien.phanbon@gmail.com,(028)66806112,"B2/22 Mai Bá Hương, ấp 2, X. Lê Minh Xuân, H. Bình Chánh,Tp. Hồ Chí Minh (TPHCM)",,,1663435000,21000000,,"số tài khoản: Nguyễn Văn Thuận- sacombank
070117283575",,1,1663435000,Chi nhánh trung tâm,,ADMIN,2022-05-19 11:35:52.773
NCC000020,CÔNG TY CỔ PHẦN ĐẦU TƯ HỢP TRÍ,,0912688967,"KCN Hiệp Phước, huyện Nhà Bè, Tp HCM",,,2562666400,0,,SỐ TK BÉ BA: 108870079029_VIETTINBANK,,1,2507871400,Chi nhánh trung tâm,,ADMIN,2022-05-17 22:59:51.963
NCC000019,NÔNG DƯỢC NHẬT NGỌC,,0919244449,"Cái Ngang, Tam Bình, Vĩnh Long",,,6696721500,0,,"số tài khoản argibank_
73082052181100
0919244449 - MBBANK - NGUYỄN MINH NHẬT",,1,6633931500,Chi nhánh trung tâm,,ADMIN,2022-05-17 07:39:06.167
NCC000018,CTY TNHH XNK PHÚC THÀNH KHANG,,0949000966,,,,56600591520,609920560,,,,1,55423828851,Chi nhánh trung tâm,,ADMIN,2022-05-16 13:58:41.257
NCC000017,CÔNG TY CỔ PHÀN NÔNG NGHIỆP HP,,02723.778.247,"KCN Đức Hòa 1- Hạnh Phúc, xã Đức Hòa Đông, Đức Hòa, Long An",,,3575090163,0,,,,1,3575090163,Chi nhánh trung tâm,,ADMIN,2022-05-11 13:08:13.183
NCC000016,TỔNG CTY PHÂN BÓN VÀ DẦU KHÍ VIỆT NAM ( HC PHÚ MỸ ),,02838256258,"Số 43 Mạc Đĩnh Chi, P. Đa Kao, Q.1, Tp.HCM",,,573750000,0,,"HỮU CƠ PHÚ MỸ
số tài khoản- vieettinban- cty
115000040074",,1,573750000,Chi nhánh trung tâm,,ADMIN,2022-05-11 09:20:37.940
NCC000015,CÔNG TY TMDV KỸ THUẬT TRE VIỆT,,09023333222,"602 KDC Hai Thành Tên Lửa, đường 17A, phường Bình Trị Đông, Q.Bình Tân, TPHCM",,,191810099,0,,"số TK: Lê Quang Cử- sacombank
060162567678",,1,191810099,Chi nhánh trung tâm,,ADMIN,2022-05-10 15:43:09.957
NCC000014,CÔNG TY TNHHXNK PHÂN BÓN VIỆT ĐỨC,,02822203839,"37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP HCM",,,43000000,0,,,,1,21835000,Chi nhánh trung tâm,,ADMIN,2022-05-10 15:36:58.180
NCC000013,CÔNG TY HOÀNG PHÚC,,1800888928,"397A, Phạm Hữu Lầu, ấp 4, Xã Phước Kiển, huyện Nhà Bè, TP HCM",,,181600000,0,,"stk: 0111000198971
Nguyen Tuan Vu _ Vietcombank.",,1,178610000,Chi nhánh trung tâm,,ADMIN,2022-05-10 15:33:41.387
NCC000012,CTY TNHH FUTURE FARMS,,02862889279,"175/60/11, Đường số 2, khu phố 1, P.Tăng Nhơn Phú B, Q Thủ Đức, TP HCM",,,187382500,0,,số tài khoant: LÊ ANH TUẤN ( TECHCOMBANK ) _ 19035039347015,,1,187382500,Chi nhánh trung tâm,,ADMIN,2022-05-10 15:25:39.067
NCC000011,CÔNG TY BASF VIỆT NAM,,02838243833,"37 Tôn Đức Thắng, Quận 1, Tp HCM",,,83000000,0,,,,1,38050000,Chi nhánh trung tâm,,ADMIN,2022-05-10 15:24:03.007
NCC000006,CÔNG TY CỔ PHẦN TẬP ĐOÀN JAPEC,,0944290902,,Hồ Chí Minh - Quận Tân Bình,Phường 07,92830000,0,316838285.0,,,1,83098240,Chi nhánh trung tâm,,ADMIN,2022-04-26 22:34:07.817
NCC000005,CTY TNHH TMDV TRƯƠNG HÙNG,,0917782526,,Bến Tre - Huyện Ba Tri,Xã An Ngãi Trung,1439590000,68400000,1301046257.0,STK : 070119918251 - SCB NGUYEN THI THI,,1,1439590000,Chi nhánh trung tâm,,ADMIN,2022-04-26 22:27:07.913
NCC000004,CÔNG TY NHỰA KHÔI NGUYÊN,,0862696060,,Hồ Chí Minh - Quận Bình Tân,Phường Bình Hưng Hòa,0,0,,,,1,0,Chi nhánh trung tâm,,ADMIN,2022-04-26 22:21:16.467
NCC000003,CTY NÔNG DƯỢC LONG AN,,02723751279,,Long An - Huyện Đức Hòa,Xã Mỹ Hạnh Bắc,0,0,1101793357.0,060259344134_NGUYEN MINH KHANG_SACOMBANK,,1,0,Chi nhánh trung tâm,,ADMIN,2022-04-26 21:34:35.773
NCC000002,CTY TNHH BACONCO THUỐC,,02543893399,,Bà Rịa - Vũng Tàu - Thị xã Phú Mỹ,Phường Phú Mỹ,0,0,,,,1,0,Chi nhánh trung tâm,,ADMIN,2022-04-26 21:29:20.933
NCC000001,CTY TNHH BACONCO  NPK,,02543893398,,Bà Rịa - Vũng Tàu - Thị xã Phú Mỹ,Phường Phú Mỹ,0,0,,,,1,0,Chi nhánh trung tâm,,ADMIN,2022-04-26 21:28:01.903
